id,sleep,nap,totwrk,educ,age,gdhlth,smsa,union,selfe,marr,yrsmarr,yngkid,male
1,3113,50,3438,12,32,0,0,0,0,1,13,0,1
2,2920,0,5020,14,31,1,0,0,1,0,0,0,1
3,2670,90,2815,17,44,1,1,0,1,1,0,0,1
4,3083,0,3786,12,30,1,0,0,1,1,12,0,0
5,3448,45,2580,14,64,1,0,0,0,1,33,0,1
6,4063,15,1205,12,41,1,0,0,0,1,23,0,1
7,3180,630,2113,12,35,1,0,0,0,1,0,1,1
8,2928,75,3608,13,47,1,1,0,1,1,24,0,1
9,3368,0,2353,17,32,1,0,1,0,1,11,0,1
10,3018,150,2851,15,30,1,1,0,1,1,7,0,1
11,3295,60,370,16,23,1,1,0,0,1,4,0,0
12,3798,0,2438,16,24,1,1,0,0,1,4,0,1
13,3008,0,2693,5,48,1,0,0,0,1,0,0,1
14,3248,0,2526,12,33,1,1,0,0,1,9,0,1
15,3683,0,2950,12,23,0,0,0,1,1,4,0,1
16,3201,0,3003,17,46,1,1,0,0,1,21,0,1
17,2580,0,4011,14,37,1,0,0,1,1,17,1,1
18,3420,105,2300,12,53,1,1,0,0,1,26,0,1
19,3090,0,1543,17,45,1,1,0,0,1,22,0,1
20,2760,0,3473,17,46,1,1,0,1,0,0,0,1
21,2880,150,3276,13,40,1,1,0,1,1,0,0,1
22,3470,90,2506,12,53,1,0,0,0,1,31,0,1
23,2673,0,2651,13,29,1,1,1,0,0,0,0,1
24,2820,30,4580,12,29,1,1,0,0,1,4,0,1
25,2873,370,3588,12,53,1,0,1,0,1,0,0,1
26,2926,75,2250,12,35,1,1,0,0,0,0,0,0
27,2603,0,2638,12,36,1,0,0,0,1,6,1,1
28,3238,54,3173,12,59,0,0,0,1,1,0,0,1
29,3888,45,3446,12,26,1,1,0,0,1,2,0,1
30,2716,0,3588,16,24,1,0,0,1,1,1,0,1
31,3245,30,2961,16,28,1,0,0,0,0,0,0,1
32,3158,0,2778,16,39,1,0,0,0,1,0,0,1
33,3105,60,3080,17,33,1,1,0,1,1,5,0,1
34,3515,150,3556,17,28,1,1,1,0,0,0,0,1
35,3330,0,2788,12,33,1,0,0,0,1,11,0,1
36,4153,975,1100,12,47,1,1,1,0,1,22,0,1
37,2955,0,3116,16,31,1,0,0,0,1,7,1,1
38,2200,638,2506,12,26,0,1,0,0,0,0,0,1
39,2885,188,2763,15,31,1,1,0,0,1,13,0,1
40,3345,150,3048,16,38,1,0,0,0,1,15,0,1
41,2765,213,2511,17,44,1,0,0,1,0,0,0,0
42,3928,25,3268,12,49,0,0,0,1,1,30,0,1
43,2833,573,3242,11,56,1,0,1,0,1,35,0,1
44,3750,0,2550,12,41,1,0,0,0,1,19,0,1
45,3328,0,3188,12,36,1,0,1,0,1,15,0,1
46,3795,53,1555,9,36,1,0,1,0,1,18,0,1
47,3363,150,2743,12,37,1,0,0,0,1,17,0,1
48,2280,0,5043,9,23,0,0,0,0,1,0,0,1
49,4151,25,3570,10,29,1,0,0,0,1,5,0,1
50,3266,0,2883,17,29,1,1,0,0,0,0,0,1
51,3570,0,2398,16,26,1,0,1,0,1,2,0,1
52,2885,0,2663,16,29,1,1,0,0,1,10,1,1
53,2879,0,2363,17,25,1,1,0,0,0,0,0,1
54,2790,0,1800,14,24,1,0,1,1,0,0,0,0
55,2799,0,2700,16,23,1,0,0,0,1,0,0,1
56,3173,38,3031,12,28,1,0,0,0,1,5,0,1
57,3308,0,2438,17,29,1,0,0,0,1,7,1,1
58,3305,0,2620,12,39,1,0,0,1,1,19,0,1
59,2975,671,2698,12,31,1,1,0,0,0,0,0,0
60,3316,150,2970,8,50,1,0,0,0,1,28,0,1
61,3226,0,2430,10,36,1,0,0,0,1,15,0,1
62,3635,0,2250,12,28,1,0,0,0,1,5,0,0
63,3233,450,2888,11,50,1,0,0,0,1,26,0,1
64,3348,0,1345,12,50,1,0,0,0,1,28,0,1
65,2630,0,2925,13,50,1,1,0,1,0,0,0,0
66,2858,0,3976,12,55,1,1,0,0,0,0,0,0
67,3203,68,2205,16,34,1,1,0,0,1,12,0,0
68,3451,100,1208,12,44,1,0,1,0,0,0,0,1
69,3008,0,2905,16,30,1,1,1,0,1,4,1,1
70,2821,30,3825,9,23,1,0,0,0,1,2,0,1
71,3525,155,2348,16,32,1,1,0,0,1,7,1,1
72,3150,60,1825,15,40,1,0,0,0,1,18,0,1
73,3113,0,2563,10,34,1,0,0,0,1,15,0,0
74,2816,0,2576,16,23,1,0,0,0,1,0,0,0
75,3105,0,2275,12,24,1,0,0,0,1,4,1,1
76,3605,0,3595,12,39,1,0,0,1,1,18,0,1
77,3611,0,2575,17,39,1,0,0,0,0,0,0,1
78,3128,0,2843,16,33,1,1,0,0,1,11,0,1
79,3213,0,2188,12,31,1,1,1,0,1,8,0,1
80,3860,2250,0,14,37,1,0,0,0,1,17,0,1
81,4275,113,2248,6,60,0,0,0,0,1,0,0,0
82,3076,625,2876,12,43,1,1,0,0,1,23,0,1
83,4313,0,2758,16,34,1,0,0,0,1,9,1,1
84,2885,0,2578,16,37,1,1,0,0,1,12,0,1
85,3165,0,2163,17,50,1,0,0,0,0,0,0,1
86,3105,450,4075,12,32,1,0,0,0,1,12,0,1
87,3063,40,2388,12,47,1,1,0,0,1,27,0,1
88,3368,0,2048,17,35,1,0,0,0,1,8,1,1
89,3415,0,2935,16,62,1,1,0,0,1,39,0,1
90,3508,0,2400,16,38,1,0,0,0,1,6,1,1
91,2788,120,2325,16,51,1,1,0,0,0,0,0,1
92,3180,205,2108,12,32,1,0,0,0,0,0,0,1
93,3123,0,2483,12,49,1,0,0,0,1,24,0,1
94,3388,225,1913,17,36,1,0,1,0,1,14,0,1
95,3610,0,1738,17,41,1,1,0,1,1,17,0,1
96,3351,105,3671,12,34,1,0,0,0,1,5,1,1
97,2653,435,3225,12,36,1,0,0,0,1,11,0,1
98,3413,120,4058,16,31,1,0,0,0,1,9,1,1
99,3218,60,2713,12,38,1,0,0,0,1,16,0,1
100,3045,0,2982,12,32,1,0,0,0,1,10,1,1
101,3433,375,3025,12,35,1,1,0,0,1,13,0,1
102,3730,158,2213,16,23,1,0,1,0,1,2,0,0
103,2970,0,2125,15,27,1,0,0,1,1,6,1,1
104,3475,0,2313,12,47,1,1,0,0,1,0,0,0
105,3430,0,3140,11,39,1,0,0,1,1,22,0,1
106,2910,30,625,14,34,1,0,0,0,1,17,1,0
107,3570,7,2350,7,52,1,0,0,0,1,0,0,1
108,3060,285,2745,12,45,1,1,1,0,1,23,0,1
109,3495,165,2038,17,61,1,0,1,0,1,0,0,1
110,2970,0,2880,12,44,0,1,1,0,0,0,0,0
111,3008,415,3331,8,51,0,1,0,0,1,27,0,1
112,3428,0,1175,15,49,1,1,1,0,1,26,0,0
113,3288,0,1605,10,64,1,1,0,0,1,42,0,1
114,2400,0,3146,12,30,1,0,0,0,1,9,1,1
115,3070,30,3135,12,36,1,0,0,0,1,6,0,1
116,2250,0,4065,15,26,1,0,0,0,1,5,1,0
117,3323,305,2968,8,44,0,0,1,0,1,24,0,1
118,3023,0,2791,12,28,1,0,0,0,0,0,0,1
119,3505,0,2398,13,59,1,0,0,1,1,37,0,1
120,3503,0,1588,12,35,1,0,1,0,1,14,0,1
121,3370,0,2611,12,56,1,0,0,0,1,33,0,1
122,3120,0,2948,12,38,1,1,0,0,1,19,0,1
123,3308,0,3038,17,28,1,1,0,1,1,2,0,1
124,3398,23,1655,14,50,1,0,0,0,1,20,0,0
125,3333,60,2560,8,46,1,0,1,0,1,25,0,1
126,2728,195,1175,16,28,1,0,1,0,0,0,0,0
127,3256,0,1350,12,28,0,0,0,0,1,6,1,1
128,3250,295,3598,12,36,1,0,0,0,1,0,0,0
129,2915,0,2638,16,47,1,1,0,0,1,19,0,1
130,4170,120,3230,14,40,1,1,0,0,1,10,0,1
131,3030,0,3311,14,42,1,1,0,0,1,20,0,1
132,3668,0,2218,16,41,1,0,1,0,0,0,0,0
133,2303,0,3699,17,44,1,1,0,0,1,14,0,1
134,3618,70,3569,16,53,1,1,0,0,1,32,0,0
135,3316,150,1775,11,39,1,0,1,0,1,20,0,1
136,3601,75,283,12,26,1,0,0,1,1,6,0,0
137,2413,0,400,12,25,0,0,0,1,1,0,0,0
138,2771,0,3533,6,32,1,0,1,0,1,10,1,1
139,3383,365,2638,12,32,1,0,0,0,1,0,0,1
140,3808,0,1175,17,24,0,0,0,0,1,3,0,0
141,3363,0,2426,12,56,1,0,0,1,1,28,0,1
142,3675,0,2113,10,34,1,1,0,0,1,17,0,1
143,3120,75,2477,13,23,1,0,0,0,1,0,1,1
144,3536,0,2375,12,29,1,1,1,0,1,8,0,0
145,3253,0,2813,12,27,1,0,0,0,1,8,0,1
146,2885,60,2625,10,58,1,1,0,0,0,0,0,1
147,2560,0,3018,12,56,1,0,0,0,1,33,0,1
148,2985,22,4335,14,37,1,1,1,0,1,0,0,1
149,3095,0,3105,12,51,0,1,0,0,1,0,0,0
150,2985,0,3194,12,50,1,0,0,0,1,28,0,1
151,2243,0,2713,16,39,1,0,0,0,1,18,0,1
152,2838,545,2338,12,48,1,0,0,0,1,20,0,1
153,3375,0,938,16,50,1,1,0,0,1,29,0,1
154,3355,0,3151,16,26,1,1,1,0,1,1,1,1
155,3743,122,0,11,51,1,1,1,0,1,29,0,1
156,2701,40,3695,16,39,1,1,0,0,1,15,0,1
157,2943,60,2575,14,54,1,1,0,0,1,27,0,0
158,3463,0,2380,12,28,1,1,0,0,1,1,0,1
159,2723,120,2781,12,37,1,0,0,0,0,0,0,1
160,3875,330,2088,14,26,1,0,0,0,1,4,1,1
161,3115,0,2892,17,35,1,0,1,0,1,13,0,1
162,2756,810,1188,15,53,1,0,0,0,0,0,0,0
163,3398,0,2088,16,53,1,0,0,0,1,30,0,1
164,3098,0,3480,12,27,1,0,0,0,1,7,0,1
165,2991,120,2588,17,37,1,1,0,0,1,16,0,1
166,3215,0,2688,12,28,1,1,0,0,1,9,0,0
167,3611,150,1445,17,29,1,1,0,0,1,2,0,0
168,3305,150,3050,12,44,1,0,0,0,1,22,0,1
169,3367,0,2250,12,26,1,0,0,0,1,7,0,0
170,2618,0,2763,16,32,1,0,0,0,0,0,0,1
171,3475,725,3008,8,59,0,1,0,0,0,0,0,0
172,3618,0,2941,17,26,1,0,0,0,1,2,0,1
173,3460,85,650,11,32,0,0,0,0,0,0,0,0
174,3250,0,2700,14,27,1,0,0,0,1,8,0,1
175,2648,360,2775,9,57,1,1,0,0,0,0,0,0
176,3045,120,2313,12,26,1,1,0,1,1,4,1,1
177,3065,0,3003,12,37,0,0,1,0,1,14,0,1
178,2875,0,2301,14,24,1,0,0,0,1,1,0,1
179,3090,1263,1806,12,33,1,1,0,0,1,14,0,1
180,2798,90,2366,17,33,1,0,1,0,0,0,0,1
181,3610,0,2466,14,27,1,0,0,0,1,0,1,1
182,3403,435,2648,8,45,1,0,1,0,1,18,0,1
183,3656,225,2010,12,32,1,1,1,0,1,9,0,1
184,3348,0,1760,17,30,1,1,0,1,1,7,1,1
185,3130,360,3135,12,35,1,1,0,0,1,13,0,0
186,3213,871,1485,10,35,1,0,0,0,0,0,0,0
187,3855,0,2463,7,46,0,0,1,0,1,24,0,1
188,3138,45,2351,12,47,1,0,0,0,1,25,0,1
189,3203,338,2975,12,51,1,0,1,0,0,0,0,1
190,2930,120,1283,10,28,1,1,1,0,1,9,0,1
191,2448,0,2488,17,47,1,1,0,0,1,19,0,1
192,3556,555,826,12,46,0,0,0,0,1,0,0,0
193,3660,0,2575,14,42,1,1,0,0,1,0,0,0
194,2536,0,2326,9,59,1,1,0,0,0,0,0,0
195,2828,117,2700,11,30,1,0,1,0,1,12,0,0
196,3103,0,1350,12,35,1,0,1,0,0,0,0,0
197,3730,0,1175,12,23,1,0,1,0,1,3,0,0
198,2840,0,2353,11,38,1,0,1,0,1,20,0,0
199,3210,80,1563,12,61,1,0,0,0,0,0,0,0
200,3650,0,600,8,51,1,0,1,0,0,0,0,0
201,2708,60,2501,17,55,1,0,0,0,1,25,0,1
202,3530,0,2250,10,33,1,1,0,0,1,17,0,0
203,4695,0,1533,12,52,1,0,1,0,1,0,0,0
204,3639,75,2513,15,27,1,0,0,0,1,5,1,1
205,2335,93,2896,9,36,1,0,0,0,1,0,0,1
206,2813,0,2550,12,55,1,0,0,0,0,0,0,0
207,3088,60,2747,10,60,0,1,0,0,1,38,0,0
208,3710,60,2127,11,40,1,0,0,1,1,22,0,0
209,3293,225,1125,13,29,1,1,0,0,1,8,0,0
210,3261,180,1125,12,35,1,1,0,0,1,16,0,0
211,3540,300,3692,12,35,1,0,1,0,1,15,0,1
212,3176,45,2225,12,39,1,0,0,0,1,13,0,1
213,3060,0,2375,12,23,0,0,0,0,1,5,1,1
214,3590,0,2100,11,28,1,0,0,0,1,1,1,1
215,2923,30,2243,17,28,1,0,1,0,0,0,0,0
216,3020,0,2275,13,54,1,1,0,0,0,0,0,0
217,3110,0,2393,11,46,1,0,0,0,1,0,0,0
218,3898,0,2408,12,52,1,0,0,0,1,31,0,0
219,2841,90,2413,12,30,1,0,0,0,1,12,0,0
220,3278,240,2420,12,40,1,0,0,0,1,16,0,0
221,3151,40,1263,17,40,1,0,1,0,1,22,0,0
222,3165,165,2765,10,28,1,0,0,0,1,11,1,1
223,3720,140,2100,12,36,1,1,0,0,1,8,0,0
224,3675,0,2425,12,30,1,1,0,0,0,0,0,0
225,3300,0,3213,12,37,1,0,0,0,1,17,0,1
226,2250,0,1200,12,36,0,0,1,0,1,14,0,0
227,3298,220,2276,12,31,1,1,0,0,1,8,0,1
228,3245,188,2475,12,30,1,0,0,0,1,4,0,1
229,2770,390,2300,11,53,1,1,0,0,1,29,0,0
230,3383,270,2188,12,37,0,0,0,0,1,18,0,0
231,3338,0,2313,12,29,1,0,1,0,1,10,0,1
232,3330,0,2300,12,34,0,1,0,0,1,2,0,1
233,3098,488,2828,12,38,1,1,0,0,1,19,0,1
234,3158,0,2200,12,24,1,0,0,0,1,5,0,0
235,3404,35,3748,14,52,1,0,0,0,1,26,0,1
236,3038,150,2681,9,38,0,0,1,0,1,14,0,1
237,3115,0,1860,16,36,1,0,0,0,1,18,0,0
238,2623,0,4325,12,60,1,0,1,0,1,0,0,1
239,3013,0,2313,12,39,1,0,0,0,1,16,0,1
240,2895,0,3411,12,50,1,0,0,0,0,0,0,0
241,2770,0,2587,10,36,1,0,1,0,0,0,0,0
242,3308,120,2975,8,60,1,1,1,0,1,23,0,1
243,3210,45,2125,13,32,1,0,0,0,1,11,0,1
244,3116,90,2628,12,56,1,0,1,0,1,35,0,1
245,3183,0,2388,8,47,1,1,1,0,1,0,0,1
246,3330,925,2866,12,61,1,0,0,0,1,39,0,1
247,3113,75,2173,17,29,0,1,0,0,0,0,0,1
248,2880,0,2450,8,56,1,1,0,0,1,0,0,1
249,3308,318,1613,12,27,1,1,0,0,1,5,0,1
250,3428,0,3150,9,45,1,1,0,0,1,0,0,1
251,3998,83,1350,12,25,1,1,0,0,1,4,0,0
252,3965,0,700,10,26,0,1,1,0,1,9,1,1
253,3515,0,2250,12,52,1,1,0,0,0,0,0,0
254,3345,0,1955,17,33,1,0,0,0,1,8,1,0
255,3638,60,2125,17,37,1,1,1,0,1,7,1,1
256,2655,0,938,13,30,1,1,0,1,1,6,1,1
257,2618,0,3869,17,52,1,1,1,0,1,27,0,0
258,3450,0,2450,12,23,1,1,1,0,1,2,1,1
259,3188,300,2353,12,44,1,1,0,0,1,0,0,0
260,3390,550,2563,16,33,1,0,0,0,1,10,0,1
261,3108,0,1863,12,27,1,0,0,0,1,5,0,0
262,3825,100,2143,7,65,0,1,0,0,0,0,0,1
263,3778,0,1571,16,30,1,1,0,0,1,8,1,1
264,3046,232,2571,16,54,1,1,0,0,1,32,0,1
265,3333,60,1818,16,29,1,1,0,0,1,8,1,0
266,4575,0,0,12,49,1,1,0,0,1,27,0,1
267,3263,0,2250,12,25,1,0,0,0,1,4,1,1
268,3113,150,2313,12,58,1,1,0,0,1,34,0,0
269,4545,150,835,11,40,0,0,1,0,0,0,0,1
270,3880,38,2830,12,40,1,0,0,0,1,5,1,1
271,3303,245,2226,12,56,0,1,1,1,0,0,0,1
272,3388,0,2325,9,45,0,0,0,0,1,25,0,0
273,3278,0,2140,10,52,0,1,1,0,0,0,0,0
274,3376,48,2592,17,31,1,0,0,0,1,10,1,1
275,2895,0,2313,12,27,1,0,1,0,1,5,0,1
276,3216,0,2263,14,31,1,0,0,0,1,9,0,1
277,2930,0,2100,17,30,1,1,0,0,1,6,0,1
278,3150,985,1075,16,44,1,1,1,0,1,17,0,1
279,3248,0,2238,15,27,1,0,0,0,1,6,1,1
280,3983,1241,1168,14,28,1,0,0,0,0,0,0,0
281,3218,305,1900,12,57,1,1,0,0,1,24,0,1
282,2803,0,2376,13,33,1,0,0,0,1,10,0,0
283,3038,0,1800,12,29,1,0,0,0,1,5,1,1
284,3150,150,2965,12,32,1,0,1,0,1,14,0,1
285,3405,0,3466,13,25,1,1,0,0,1,4,1,1
286,3548,0,1538,12,50,1,1,0,0,1,25,0,1
287,3670,0,2600,12,39,0,1,1,0,0,0,0,1
288,2961,763,1675,12,24,0,1,1,0,1,4,0,1
289,3530,63,1113,12,31,1,0,1,0,1,9,1,1
290,2668,0,2400,12,25,1,0,1,0,1,7,1,1
291,3233,615,2288,7,44,1,0,1,0,1,25,0,1
292,3750,0,2226,17,62,1,1,0,0,1,37,0,1
293,3203,0,2001,12,44,1,1,0,0,1,23,0,1
294,2948,100,2480,12,35,1,1,0,0,1,0,0,0
295,3621,413,2588,12,34,1,0,0,0,0,0,0,0
296,3630,535,1213,12,27,1,0,0,0,1,5,1,0
297,3631,0,1650,12,32,1,0,0,1,1,10,0,1
298,2836,0,2263,8,58,1,1,1,0,1,30,0,1
299,2940,8,2163,17,27,1,0,0,0,1,10,1,0
300,3943,0,958,14,59,1,1,0,1,1,34,0,1
301,3378,0,3185,12,23,1,0,0,0,1,0,0,1
302,4140,120,0,8,45,0,0,0,0,1,0,0,1
303,2888,0,2931,12,25,1,1,1,0,1,1,0,1
304,3030,410,1138,17,52,1,0,0,0,0,0,0,1
305,3705,0,2363,12,29,1,1,0,0,1,6,1,1
306,3795,375,1298,16,24,1,0,0,0,1,3,0,0
307,3160,0,3103,10,59,1,0,0,0,1,36,0,1
308,3075,210,3261,10,39,1,1,0,0,1,13,0,1
309,2678,270,2755,12,33,1,1,1,0,1,7,0,1
310,4113,0,2488,8,33,0,1,0,0,1,13,1,1
311,3293,550,2058,12,58,1,0,0,0,0,0,0,1
312,2760,0,2695,16,33,1,1,0,0,1,9,1,1
313,3720,0,2113,17,24,1,0,0,0,1,2,0,0
314,3840,0,1538,12,47,1,1,0,0,1,7,0,1
315,3338,373,1323,16,51,1,0,0,0,1,29,0,0
316,4373,0,0,11,44,1,0,0,0,1,26,0,0
317,2928,210,2735,12,48,1,0,1,0,1,27,0,1
318,3090,35,3225,12,36,1,1,0,0,1,15,0,1
319,2740,0,2375,12,54,1,0,0,0,1,27,0,1
320,2496,160,1762,12,25,1,1,0,0,1,1,0,1
321,3098,150,2601,17,56,0,1,0,0,0,0,0,0
322,2933,0,2513,12,28,1,0,0,0,1,6,1,1
323,3195,375,1755,14,40,1,0,0,0,0,0,0,0
324,3213,60,2288,12,28,1,0,0,0,1,4,0,1
325,3015,38,2640,12,29,0,0,0,0,1,7,0,1
326,3698,0,2518,17,33,1,1,0,0,1,0,1,1
327,3488,0,1880,12,26,1,0,1,0,1,5,0,1
328,3335,60,2438,12,54,1,1,0,0,1,34,0,1
329,2965,0,2551,12,31,1,0,1,0,1,12,0,1
330,3823,0,2300,13,56,1,1,1,0,1,29,0,1
331,3443,0,2996,17,25,1,0,1,0,0,0,0,0
332,3560,0,2513,12,25,0,0,0,1,1,4,0,1
333,3461,0,2300,8,53,1,0,0,0,1,15,0,1
334,3178,0,2656,12,26,1,1,0,0,1,5,0,1
335,3435,0,1920,15,24,1,1,1,0,1,1,0,1
336,3211,188,1275,17,45,1,0,1,0,1,20,0,1
337,3635,30,465,10,52,0,0,0,0,1,34,0,0
338,3378,93,1125,15,23,1,1,0,0,1,5,1,0
339,3780,838,1050,12,32,1,0,0,0,1,15,0,0
340,2715,300,2850,17,49,1,0,0,0,1,25,0,0
341,3436,60,2250,12,44,1,0,0,0,0,0,0,0
342,3285,105,2451,13,24,1,0,0,0,1,2,0,1
343,3203,0,2463,11,34,1,0,0,0,1,15,0,1
344,3683,0,2150,14,54,0,0,0,0,1,31,0,1
345,3135,0,2325,12,40,1,1,1,0,1,16,0,1
346,3213,0,3273,8,48,1,1,0,0,1,0,0,0
347,3365,0,2203,15,27,1,1,0,0,0,0,1,0
348,3278,20,1853,17,33,1,0,0,0,1,13,1,0
349,3150,313,3616,12,28,1,1,1,0,0,0,0,1
